Aeroplane Over the Sea,Neutral Milk Hotel
On Avery Island,Neutral Milk Hotel
To Be Kind,Swans
Filth,Swans
The Money Store,Death Grips
No Love Deep Web,Death Grips
Jenny Death,Death Grips
Year of the Snitch,Death Grips
Your Queen is a Reptile,Sons of Kemet
Wide Awake!,Parquet Courts
Content Nausea,Parquet Courts
Sunbathing Animal,Parquet Courts
Human Performance,Parquet Courts
Red Walls,Standing on the Corner
s/t,Standing on the Corner
Divorce Lawyers I Shaved My Head,Jordaan Mason and the Horse Museum
Yeezus,Kanye West
The Life of Pablo,Kanye West
ye,Kanye West
To Pimp a Butterfly,Kendrick Lamar
DAMN,Kendrick Lamar
Good Kid M.A.A.D City,Kendrick Lamar
Building Nothing Out of Something,Modest Mouse
Crooked Rain Crooked Rain,Pavement
Slanted and Enchanted,Pavement
Complete Discography,Minor Threat
Plowing into the Fields of Love,Iceage
Trout Mask Replica,Captain Beefheart
In the Court of the Crimson King,King Crimson
In the Wake of Poseidon,King Crimson
Plays Standards,Ground-Zero
Knife Man,AJJ
People Who Can Eat People are the Luckiest People in the World,AJJ
Christmas Island,AJJ
I,BADBADNOTGOOD
II,BADBADNOTGOOD
III,BADBADNOTGOOD
IV,BADBADNOTGOOD
Prima Donna,Vince Staples
Big Fish Theory,Vince Staples
I Don't Like Shit I Don't Go Outside,Earl Sweatshirt
Revolver,The Beatles
Helplessness Blues,Fleet Foxes
No Deal,Melanie De Blasio
Brick Body Kids Still Daydream,Open Mike Eagle
Musas (Vol.2),Natalie Lafourcade
It's Time,Max Roach
electricity is on our side,Busdriver
Neo Wax Bloom,Iglooghost
Pink,Boris
WLFGRL,Machine Girl
Everything's Fine,Jean Grae & Quelle Chris
You're Dead!,Flying Lotus
Peasant,Richard Dawson
The New Breed,Jeff Parker
Eucalyptus,Avey Tare
Under Color of Official Right,Protomartyr
Relatives in Descent,Protomartyr
Halcyon Diget,Deerhunter
Gumboot Soup,King Gizzard & The Lizard Wizard
Nonagon Infinity,King Gizzard & The Lizard Wizard
Murder of the Universe,King Gizzard & The Lizard Wizard
Remain in Light,Talking Heads
OIL OF EVERY PEARL'S UN-INSIDES,SOPHIE
Veteran,JPEGMAFIA
harutosyura,harunemuri
Hello everyone. Nice to meet you. We are Midori,Midori
Your Blues,Destroyer
Safe In The Hands of Love,Yves Tumor
Gist Is,Adult Jazz
Fantasy Empire,Lightning Bolt
The,tricot
The Evpatoria Report,Golevka
Life Your Skinny Fists Like Antennas to Heaven,Godspeed You! Black Emperor
Kin,iamamiwhoami
yume,Lamp
Il bestiario,Maria Monti
Alles Ist Gut,DAF
A Laughing Death in Meatspace,Tropical Fuck Storm
Everyone Else,Slothrust
Torch of the Mystics,Sun City Girls
Colossus,IDLES
